,asin,title,description,category,topic_name,topic_rank,bubble_color,bubble_size
175,9980453400,FS9108: Economy Sand Dollars,These sand dollars (Encope Californicus) from Mexico (larger <br> ones) or Morocco (smaller ones) are of ...,other,other_2,44,0.6353,2.0
186,B0000223WG,Baldor WWL3606 3 Horsepower 1 Phase 3450 RPM Replacement Motor (For Delta Right Tilt Unisaws),"When you count on your equipment, you can count on Baldor <br> motors. Even better? These totally enclose...",rabbits and rodents,rabbits and rodents_4,7,0.78908,5.0
187,B0000223X4,Gore CleanStream 09056 Fully Washable Wet/Dry Vac Filter (For Shop-Vac Vacuums),The Shop-Vac 10-Gallon 1.7 Hp Wet/Dry Vacuum With Internal Float <br> Shut-Off Picks Up Non-Combustible M...,rabbits and rodents,rabbits and rodents_5,1,0.2307,4.0
190,B00002N7PJ,Diamond 14D 14-Inch Hoof Nipper with Plastic Grips,"Forged from high-quality steel with heat-treated jaws and <br> handles. Sharp cutting edges are hardened,...",farm animals,farm animals_5,7,0.4541929411764705,85.0
194,B00004S1D4,Thermos 18-Ounce Stainless-Steel Insulated Sports Bottle,The Thermos Nissan 26-oz. sports bottle has superior vacuum that <br> creates greater capacity than other...,rabbits and rodents,rabbits and rodents_3,5,0.6281399999999999,5.0
197,B00004TS5R,Highland HL1610 Overhead Projector,"Hl1610 Highland Overhead Projector,Technological developments <br> are making great inroads in areas not ...",other,other_6,14,0.7782749999999999,4.0
198,B00004TVUM,Beltronics 890 Radar Detector,"Featuring a safety warning system and digital voice messages, <br> Beltronic's 890 Radar Detector will sa...",rabbits and rodents,rabbits and rodents_1,19,0.5445463636363636,110.0
200,B00004WA84,"Oneida Stainless Steel Demitasse Spoons, Set of 8","When aromatic espresso or foamy cappuccino is served, stirring <br> in sugar requires tiny spoons like th...",other,other_4,7,0.630075,4.0
201,B00004WG0E,"3M 133 Marine Duct Tape, 60 yds Length x 2"" Width","3M, Scotch A/C &amp; Ventilating, 2"" X 60 YDS Cloth Duct Tape, <br> Super Strong Yet Easy To Tear, Seals ...",other,other_3,6,0.3257,4.0
205,B00004YYEL,"Diamond Farrier FT15 15"" Farrier Tong",FT15 Features: -Manufactured from special low carbon steel for <br> lasting strength. -Will not become br...,rabbits and rodents,rabbits and rodents_1,17,0.5486529411764706,17.0
211,B00005366Y,Beauty without Cruelty Aromatherapy Hand and Body Lotion - 16 Fluid Ounces,Blended with Pure Essential Oils . A Perfect All-Over Body <br> Treatment ...,other,other_4,38,0.4371,2.0
212,B000059YQJ,"Powermatic 1660805K Model 66 10-Inch Left Tilt 5 Horsepower Table Saw with 50-Inch Accu-Fence, ...",Arbor Diameter (in.) 5/8 Blade Diameter (in.) 10 Brand <br> Powermatic Distance Between Sliding Table and...,rabbits and rodents,rabbits and rodents_3,3,0.6574714285714286,7.0
215,B00005KIA3,"KitchenAid Heavy Duty Balloon Whisk, Yellow","Balloons Party Pack Helium 12 Inches Rainbow Set, Assorted <br> Colored Balloons Made With Strong Latex F...",other,other_1,47,0.3454,2.0
222,B00005OMWL,ARK NATURALS Omerga Mender.,Ark Naturals Omega Mender! Itch Ender! is not a one ingredient <br> product. A healthy pet diet contains ...,cat,cat_6,41,0.1077142857142856,7.0
230,B00005OMWZ,"Castor &amp; Pollux Curious Cat Organic Catnip, 1 Ounce","""We make stuff we like"" ""I don't know about you, but I always <br> demand the ...",cat,cat_5,13,0.6191666666666666,3.0
241,B00005S8I1,Fat Cat Kitty Hoots Boogie Mat for de Cat Birds,"These bee-you-tee-ful mats, with original dee-signer fabric by <br> Fat Cat, Inc. will become a major cen...",cat,cat_5,47,0.5979181818181818,11.0
248,B0000647GN,Spectra Precision LG2 AccuSquare PRO,FEATURES: General contractor's tool that generates two visible <br> lines at 90 degreesSPECIFICATIONS: Ac...,rabbits and rodents,rabbits and rodents_4,14,0.8028333333333334,3.0
265,B00006FDON,Bosch 1012VSR 6.5 Amp 3/8-Inch Drill,"""BOSCH 3/8 HIGH TORQUE DRILL6.5 Amp all ball bearing motor <br> 0-1100 RPM. One handed keyless chuck. Var...",rabbits and rodents,rabbits and rodents_3,4,0.9110666666666668,6.0
279,B00006IUWK,"Presto 07035 Cool Touch Electric Griddle, White","Cool-touch on three sides. Heavy cast aluminum resists warping, <br> dissributes heat evenly. Jumbo size ...",rabbits and rodents,rabbits and rodents_5,10,0.6409635126377201,1543.0
319,B00008434E,"Au Jus&trade; Canned Chicken Diet Wet Dog / Cat Food Quantity: 5.5-oz, case of 24","WDMCC6 Quantity: 5.5-oz, case of 24 Features: -Canned chicken <br> diet dog / cat food. -Contains no grai...",cat,cat_6,7,0.07905,2.0
325,B000084E78,"CELL SORB Plus Bedding, 28-Quart",Cell Sorb Plus Ferret Litter Cell Sorb Plus Bedding will cut <br> down on how often you need to clean you...,amphibians and reptiles,amphibians and reptiles_3,4,0.39125,10.0
330,B000084E6Y,Cats Claws I.C.A.T.S. Attachment Cat Toy,"The original ""Feline Flyer"". Tease your cat with bird-like <br> movements and fluttering sounds. Non-toxi...",cat,cat_3,29,0.6553666666666668,3.0
334,B000084E5W,Petmate Litter Pan Assorted Large,"With Microban antimicrobial. Durable construction. Attractive <br> colors. Easy to clean. Large.,,",cat,cat_4,40,0.6527250000000001,4.0
337,B000084EAD,"Beefeaters Piggy Porkhide Bone, 8 To 9-Inch","Piggy Porkhide Bones have a chewy texture that dogs enjoy. As it <br> satisfies the dog's need to chew, i...",farm animals,farm animals_5,3,0.8602,2.0
340,B000084E4J,"Cream Original Snuggle Ball - 32""",nan,dog,dog_3,34,0.75832,5.0
371,B000084EG3,Crystal Clear Litter Pearls Cat Litter,nan,cat,cat_3,28,0.7866,3.0
383,B000084EGQ,"Lafeber Company Original Avi-Cakes for Macaws and Cockatoos, 16-Ounce","It's Love At First Bite Original, Nutritional, Flavorful. This <br> is the recipe birds have grown to lov...",bird,bird_4,18,0.515625,16.0
384,B000084EQM,"Healthy Pet Foods, Inc. Clumping Cat Litter, 10-Pounds",Save On Here's The Scoop 1X 10Lb Clumping Cat Litter Doesn'T <br> Contain Chemicals Or Sodium Bentonite.:...,cat,cat_5,9,0.82825,4.0
397,B000084EK9,Friskies Sea Captain's Choice for Cats (24/5.5-oz cans),Friskies Classic Pate Sea Captains Choice Canned Cat Food - what <br> your cat is hungry for today and ev...,cat,cat_5,25,0.2976,2.0
400,B000084EKY,Fancy Feast Sliced Variety Pack Canned Cat Food,"Fancy Feast Sliced Variety Pack Canned Cat Food provides your <br> cat with a complete and balanced meal,...",cat,cat_2,20,0.37865,4.0
403,B000084ETX,Felidae Cat and Kitten Formula (20-lb bag),nan,cat,cat_1,3,0.75625,6.0
406,B000084EF6,Totally Ferret Active Show and Pet Diet,?Why do you need anti-bark collar StopWoofer?  There is a number <br> of dog behavior related ...,rabbits and rodents,rabbits and rodents_4,26,0.3048,2.0
418,B000084ENJ,HIKARI Staple Pellets Pond Fish Food,"Hikari Staple is an economical, daily diet for koi as well as <br> other pond fishes. It contains all the...",fish,fish_6,37,0.5657599999999997,75.0
442,B000084F68,Wells Pro Pac Cat Adult Formula - 19.8 Lb. Bag,PRO PAC Adult Cat Food is a superpremium food for adult cats.,cat,cat_2,36,0.6443333333333333,3.0
444,B000084EMZ,"TetraPond Pond Sticks, Healthy Nutrition for Goldfish and Koi","For 50 years, fishkeeping enthusiasts have looked to the Tetra <br> name for products and solutions that ...",fish,fish_6,17,0.5929096858638737,382.0
472,B000084EWW,Pet Guard Food For Dogs,"Pet guard Dog Adult chicken Rice Herb. No Artificial Flavors, <br> Preservatives. The product temperature...",farm animals,farm animals_5,6,0.78335,2.0
482,B000084EN5,TetraPond Floating Koi Sticks,TetraPond Koi Vibrance pond fish food is a highly nutritional <br> diet for all sizes of koi and ornament...,fish,fish_6,20,0.6011259923175427,781.0
490,B000084F3T,"Pureness Giant Cat Litter Pan, Assorted Colors",Pureness giant cat litter pan. Size 21-7/8-inch by 16-3/4-inch <br> by 6-1/2-inch. Comes in assorted colo...,cat,cat_4,33,0.508385571142285,499.0
492,B000084EVG,PetGuard Premium Dry Cat &amp; Kitten - Fresh Chicken - 8lb,",PetGuard Premium Cat & Kitten Dry Food - Fresh Chicken,PetGuard <br> Premium Cat & Kitten Dry Foo...",cat,cat_3,24,0.6178999999999999,7.0
497,B00008BQZD,Dualit Combi 2+1 Toaster in Silver (2 Toast/1 Sandwitch),Adjustable The collar for flea and tick prevention for cat will <br> be ideal for both tiny and big cats ...,rabbits and rodents,rabbits and rodents_4,47,0.7223499999999999,8.0
530,B00008DFPF,Oxbow Western Timothy Hay,Western Timothy is the most widely recommended grass hay. It <br> provides a long-strand fiber source tha...,rabbits and rodents,rabbits and rodents_1,26,0.504725,4.0
540,B00008DFPL,Oxbow Orchard Grass 9 lb.,"Animals love the sweet smell and taste of leafy Oxbow Orchard <br> Grass Hay, and that makes it a g...",rabbits and rodents,rabbits and rodents_4,11,0.712975,4.0
578,B00008Q37R,C.E.T. Oral Hygiene Chews (petite - 30-ct box),C.E.T. Oral Hygiene Chews for dogs are made from select beef <br> hide and are coated with the C.E.T. Dua...,other,other_3,28,0.8523000000000001,2.0
592,B000093HIR,"ARC Laboratories Kwik-Stop Styptic Powder for Dogs, Cats and Birds (42-gm container) by Arc ...",Kwik-Stop Styptic Powder With Benzocaine is applied topically as <br> aid to stop bleeding caused by clip...,bird,bird_2,2,0.4960800000000001,5.0
596,B000093HMI,Supreme Gerty Premium Guinea Pig Food,"Gerty Guinea Pig is a colorful, complete and balanced food <br> enriched with vitamin C cavies. Like huma...",rabbits and rodents,rabbits and rodents_4,9,0.34265,4.0
611,B00009K77E,Jasper 500J Model 500 Router Circle Cutting Jig Base Plate Adaptor,Jasper base plate adapter converts your router base to use <br> porter cable style guide bushings.,other,other_5,36,0.637,2.0
614,B00009LHMR,Kaylor-made Sweet Harvest Parrot Food Without Sunflower,"MADE TO ORDER -- all products freshly made to order and are NOT <br> pre-packaged!!,,",bird,bird_3,8,0.8870333333333335,3.0
623,B00009ND7R,Wysong Vitality Can Cat Food 24 Pack,Wysong Feline Vitality yields an excellent spectrum of amino <br> acids and micronutrients essential to n...,cat,cat_3,46,0.7244,2.0
627,B00009OLFA,"Feline Holistic Chicken and Tuna Recipe Cat Food (5.5-oz, case of 24)",72100125 Features: -Cat food.-Chicken and tuna protein.-Low <br> magnesium.-Omega fatty acids for a healt...,cat,cat_1,40,0.8089,2.0
628,B00009OLHB,Sweet Harvest Cockatiel Bird Food (With Sunflower Seeds),Kaylor-made Sweet Harvest Cockatiel Food with Sunflower,bird,bird_1,24,0.5149352941176472,17.0
630,B00009OLH0,Kaylor-Made Sweet Harvest - Rabbit &amp; More 6-Lb Bag,"The first rabbit food ever to include ingredients other than <br> pellets! Contains Suncured Alfalfa Hay,...",rabbits and rodents,rabbits and rodents_6,39,0.5538666666666666,3.0
645,B00009ZJ23,"Pretty Bird International Bpb79117 20-Pound Daily Select Premium Bird Food, Medium","Pretty Bird daily select premium bird food is original <br> multicolored, multi-shaped, extruded bird foo...",bird,bird_1,12,0.5532644444444446,45.0
655,B0000AH3OC,Hemp Oil for Dogs &amp; Cats (500mg) - Organic Full Spectrum Hemp ExtractNatural Pain Relief for ...,Does your pet get enough Omega 3 and Omega 6 in their diet? Our <br> hemp oil not only contains the full ...,cat,cat_2,35,0.2345333333333333,3.0
662,B0000AH9XL,Friskies Special Diet Chicken and Gravy (24/5.5-oz cans),Friskies Special Diet Meaty Bits Chicken Dinner in Gravy Canned <br> Cat Food is specially formulated to ...,cat,cat_5,12,0.1822333333333333,3.0
663,B0000AH3RU,Natural Large Bird Food,"Zupreem natural is fresh, wholesome natural bird food made with <br> vegetables and precisely formulated ...",bird,bird_1,14,0.443137037037037,27.0
666,B0000AUSD4,Coghlan's Function Whistle,nan,rabbits and rodents,rabbits and rodents_5,33,0.4436249999999998,264.0
675,B0000B3ASR,"Fiebing's 100% Pure Neatsfoot Oil - Natural Leather Preserver - For Boots, Baseball Gloves, ...",A 100% natural preservative for leather articles subjected to <br> rugged use and outdoor exposure. Since...,rabbits and rodents,rabbits and rodents_3,24,0.498528148148148,270.0
678,B0000B3AS3,Lexol ph Leather Cleaner 1/2 Liter Spray,Lexol pH Leather Cleaner is strong for tough jobs but gentle <br> enough for the finest leather. Safely c...,farm animals,farm animals_5,8,0.499275,4.0
679,B0000B3BVA,Vet Wrap Neon Purple,"Vet Wrap Neon Purple,,",bird,bird_2,1,0.7193,5.0
686,B0000BUUT5,Hoof Pick With Brush Assorted Colors,"2 in 1 Plastic hoof pick with brush. Assorted color. Sorry no <br> color choice.,,",farm animals,farm animals_5,2,0.6796333333333333,3.0
687,B0000BUV1L,MiracleCorp Products Grooma Equine ManeMaster Combo Comb,"Mane Comb designed to prevent pulling.,,",farm animals,farm animals_5,11,0.0571625,8.0
693,B0000BYC0F,PondCare 180B Spring and Autumn Pond Fish Food Premium,"This is a reduced protein, high carbohydrate diet formulated <br> specifically for the cool water seasons...",fish,fish_4,7,0.758025,32.0
694,B0000BYC0N,API Pond Salt Pond Water Salt,A lack of electrolytes in pond may cause serious health problems <br> for fish. API POND SALT supplies el...,fish,fish_6,30,0.4250255319148936,94.0
695,B0000BYC0H,"Pondcare Summer Staple Koi Fish Food Premium Pellet, 41-Ounce",This product is formulated to meet the nutritional needs of koi <br> and goldfish in the warm water seaso...,fish,fish_4,12,0.5797952380952381,21.0
701,B0000BYDP7,C &amp; S Products CS803 Easy Fill Suet Basket,EZ Fill Suet Basket Attracts more birds and gives the wild bird <br> feeding enthusiast peace of mind kno...,bird,bird_6,44,0.4637,2.0
703,B0000BYDZD,"8-Ounce Individual Box Oriole Nectar, Orange Flavor",Individual box of orange flavored Oriole nectar.,bird,bird_6,49,0.6495200000000001,5.0
715,B0000CET3P,Animalovens Pretzel Sticks Food - Net Wt 3.5 OZ,"Animalovens Pretzel Sticks Food - Net Wt 3.5 OZ,,",rabbits and rodents,rabbits and rodents_4,17,0.4226333333333333,3.0
716,B0000CEU4O,"Sun Seed Company Bss40180 Vita Mix Daily Diets For Finch, 25-Pound","Sun Seed Company BSS40180 Vita Mix Daily Diets for Finch, <br> 25-Pound,,",bird,bird_2,11,0.5758,2.0
743,B0000TSC9M,Kitty Kaviar Premium Cat Treat (0.5oz canister (12 pack)),Kitty Kaviar is an allnatural fish treat for cats of all ages. <br> It is made from 100 dried Bonito file...,cat,cat_6,2,0.58124,5.0
746,B0000TS5IU,Kaylor of Colorado AS-48765-2 4 lb (Pack of 2) Sweet Harvest Rabbit More Pet Food,"Kaylor-Made Sweet Harvest Parakeet Food,,",bird,bird_4,30,0.376,2.0
796,B00014FBO0,Ware Manufacturing Kitty CONDO 2 Level,Quality materials and construction. Double hideout with a cozy <br> perch. One of the most popular pieces...,cat,cat_6,16,0.5794199999999999,5.0
820,B000198CWI,Jelly Scrubber Grooming Mitt,Still the hottest original jelly scrubber on the market by Tail <br> Tamer. Great jelly feel in assorted ...,farm animals,farm animals_2,1,0.6931499999999999,2.0
829,B00019JVCI,MAM 3 Pack of 5 oz. bottles,nan,other,other_5,24,0.9157,2.0
844,B0001BV0LQ,Pit'r Pat Liver (.43 oz),"These mini fun fishshaped breath freshening ""mints"" freshen <br> cat's breath. Cats love the flavor of th...",cat,cat_3,41,0.4546526315789473,19.0
847,B0001F30CE,JLA Wheel Away,"Wheel Away Patented, wheeled carrier transport system lets you <br> take your pet almost anywhere you go....",dog,dog_4,31,0.906625,4.0
857,B0001M9YCW,Fairy and Roses Birdfeeder - Style 32205,"Let this rosy fairy feed your feathered friends! Seated in the <br> center of a flower, she is nicely det...",other,other_5,33,0.95615,2.0
860,B0001NE3P4,Koala Baby Sage Closet Organizer,nan,rabbits and rodents,rabbits and rodents_6,9,0.7398000000000001,15.0
871,B0001RTDIC,"MarineLand Emperor Filter Systems, 400B","At Marineland, innovation powers everything we do. From industry <br> firsts to industry standards, Marin...",fish,fish_1,27,0.4899790384615385,520.0
873,B0001RWC9O,Synergy Labs Pooch Scents Stud Muffin for Dogs,"Fresh, clean designer fragrances in distinctive packaging. Takes <br> the ""Poo"" out of Pooch!",farm animals,farm animals_3,1,0.2411166666666666,6.0
876,B0001RU4MG,"Super Pet CritterTrail Value Pack (#4, fun-nels tubes - 1 ''Tee'', 1 dome and 8 rings - 1 long ...","Why do you need anti-bark collar StopWoofer? There is a number <br> of dog behavior related problems, whi...",rabbits and rodents,rabbits and rodents_4,50,0.8268428571428572,7.0
886,B0001VKHN8,"Jarrow Formulas - Glucosamine Sulfate, 1000 mg, 100 tablets",Glucosamine is an aminomonosaccharide synthesized from glucose <br> and the amino acid L-glutamine. Gluco...,other,other_3,12,0.1886666666666666,3.0
890,B0001X0VE6,Kay Berry Inc Kay Berry Dogs Leave Paw Prints Garden Accent Stone,This garden stone is both sweet and elegant. The cast stone <br> features a paw print and the phrase 'Dog...,dog,dog_4,25,0.83672,5.0
891,B0001XKC5E,"Kay Berry 67820 Here Lies A Faithful Friend&hellip; Decorative Stones, Multicolor",Here lies a faithful friend/cat),cat,cat_4,1,0.69323,10.0
892,B0001XPC18,2PK Horseshoe,"2 Pack, Diamond Tournament White Pitching Shoe, Made From Drop <br> Forged Special Carbon Steel, Prevents...",farm animals,farm animals_1,2,0.4074666666666665,3.0
911,B00021HB3Q,Pet Hunt,"The Lost and Found card matching game.,,",other,other_1,23,0.2669,2.0
926,B000248C3Q,"Healing Tree Products TEA-CLENZ-650 Tea-Clenz Topical Fungicide Solution, 16 oz","HEALING TREE PRODUCTS TEA-CLENZ-650 Tea-Clenz Topical Fungicide <br> Solution, 16 oz",farm animals,farm animals_1,3,0.4769875,8.0
927,B000248Q8M,"Healing Tree Products Tea Pro Equine Wound Spray, 16 oz","This product has a great performance, quality and price. A <br> rapid-acting, easily applied, non messy/n...",farm animals,farm animals_5,5,0.4196266666666667,15.0
931,B00024Y5Q4,Featherstone Heights Stone Cottage Bird Cage 292,Prevue Pet Products Featherstone Heights Stone Cottage 292 bird <br> cage is expertly designed to replica...,bird,bird_1,43,0.6384363636363636,11.0
934,B000255MU6,"Boyd Enterprises ABE16705 Chemipure Filter Media for Aquarium, 10-Ounce",Chemi-pure is the original formula for over 50 years with <br> millions of satisfied customers. It was in...,fish,fish_3,41,0.5282395348837209,86.0
936,B000255MW4,"Aquarium Pharmaceuticals RENA Cal Top Light Excel Heater 14 inch, 300W",For 55 to 100 gallon aquariums. Computer-calibrated temperature <br> control. Accurately adjusts water te...,rabbits and rodents,rabbits and rodents_4,24,0.8685499999999999,2.0
937,B000255N8C,"Marineland 48001 Duetto Chemical Filter Cartridge, 2-Pack","For more than 40 years, Marineland has been committed to <br> fishkeeping success. By applying biological...",amphibians and reptiles,amphibians and reptiles_3,6,0.1460749999999999,8.0
940,B000255N14,API Pond Stress Coat Pond Water Conditioner Bottle,"API POND STRESS COAT Pond Water Conditioner works instantly to <br> remove chlorine, chloramines and ammo...",fish,fish_2,23,0.4987505917159759,338.0
943,B000255NH8,API Algae Scraper for Glass Aquariums 1-Count Container,"API ALGAE SCRAPER GLASS uses an extra-long, extra-strong handle <br> with durable scrubbing pad for easy ...",fish,fish_1,18,0.4619023809523808,126.0
945,B000255MSI,"Aquarium Products Aquari-Sol Freshwater Aquarium Treatment, 16-Ounce",AP Aquari-Sol 16-ounce,fish,fish_3,50,0.4802,3.0
947,B000255NEQ,API Activated Filter Carbon Aquarium Filtration Media,"API ACTIVATED FILTER CARBON clears aquarium water by removing <br> organic waste, colors, odors, and diss...",cat,cat_6,36,0.4226201342281874,149.0
949,B000255MOM,Genesis chlorine remover - 4 Ounces,Unique formula for removing harmful chlorine from tap water. <br> Protects the fish s natural defensive m...,fish,fish_6,11,0.50985,2.0
950,B000255NNW,Sandstone Airstone - 12 in. x 3/4 in. x 3/4 in.,The Sandstone Airstone will produce a 12 inch long wall of <br> bubbles. This blue stone will hide in the...,amphibians and reptiles,amphibians and reptiles_2,26,-0.110725,4.0
953,B000255MS8,Aquari-Sol Treatment For Fish - 4 Oz, - This item is a member of the Aquari-Sol collection. The <br> following description pertain...,fish,fish_3,8,0.5470499999999999,2.0
954,B000255MVU,"Aquarium Pharmaceuticals RENA Cal Top Light Excel Heater 14 inch, 200W",For 40 to 75 gallon aquariums. Illuminated top and side <br> temperature readings. Fully submersible; wat...,rabbits and rodents,rabbits and rodents_3,43,0.5089,2.0
958,B000255NXW,"Python No Spill Clean and Fill Aquarium Gravel Tube Extension, 20-Feet","Python No Spill Clean and Fill Aquarium Gravel Tube Extension, <br> 20-Feet",fish,fish_3,36,0.4218895833333332,96.0
959,B000255NX2,Python Brass Adapter for Aquarium,The Python Brass Faucet Adapter allows you to connect your No <br> Spill Clean and Fill System to any sta...,fish,fish_3,35,0.43480625,160.0
960,B000255NHI,API Hand HELD Algae PAD for Glass Aquariums 1-Count Container,API HAND HELD ALGAE PAD FOR GLASS AQUARIUMS quickly removes <br> unsightly algae from glass aquariums. AL...,rabbits and rodents,rabbits and rodents_3,40,0.4185038461538462,26.0
963,B000255NUU,Python Faucet Adapter for Aquarium,The original 2-piece Python Faucet Adapter allows you to connect <br> your No Spill Clean and Fill System...,fish,fish_4,49,0.4357,27.0
966,B000255MGU,American Marine Selcon 60 mL,AMERICAN MARINE SELCON 60MLAquarium food booster that features <br> highly unsaturated OMEGA 3 fatty acid...,fish,fish_5,22,0.4828519607843135,102.0
968,B000255N9Q,Aquarium Systems Duetto Multi-Filter Biological Filter for DJ100,Replacement Biological Filter for Duetto Multi-Filter DJ100..,amphibians and reptiles,amphibians and reptiles_1,6,0.3324428571428571,7.0
969,B000255NKA,"Instant Ocean Sea Salt for Marine Aquariums, Nitrate &amp; Phosphate-Free","No matter what size your aquarium, Instant Ocean sea salts and <br> water care products offer the smartes...",fish,fish_3,43,0.4988304079110023,809.0
